place,price,size,title
汉沽-汉沽街 大丰路,800,90平米,丽景名苑   家电全  两室拎包即住    超 便宜
汉沽-汉沽街 大丰路,700,97平米,滨海未来城，俩室精装，家具齐全，拎包入住，致电
汉沽-河西 五经路,1500,40平米,桥园里 新上一室 好房子 精装一室 家电齐全 拎包入住
汉沽-汉沽街 友谊街,850,59平米,红霞里，临近车站百货，临近一中，随时看房，拎包入住
汉沽-汉沽街 东风南路,1400,89平米,小区环境优美，交通便利，看房方便
汉沽-汉沽街 化工路,1300,92平米,精装 梧桐苑  温馨的小家  拎包入住
汉沽-汉沽街 东风路,700,53平米,中阳里，一室精装修，优秀楼层，家电齐全，拎包入住，机不可失
汉沽-汉沽街 朝阳街,1200,93平米,泰达美源，俩室精装，家具齐全，拎包入住，
汉沽-汉沽街 新开北路,1300,96平米,环境优美，户型经典，交通方便，拎包入住
汉沽-汉沽街 牌坊东街,1200,60平米,家电齐全 木地板 地段好 交通便利 车位多
汉沽-汉沽街 大丰路,1500,99平米,世嘉花园 精装大两室 家电齐全
汉沽-汉沽街 化工路,1300,92平米,精装 梧桐苑  温馨的小家  拎包入住
汉沽-汉沽街 东风路,700,53平米,中阳里，一室精装修，优秀楼层，家电齐全，拎包入住，机不可失
汉沽-汉沽街 朝阳街,1200,93平米,泰达美源，俩室精装，家具齐全，拎包入住，
汉沽-汉沽街 新开北路,1300,96平米,环境优美，户型经典，交通方便，拎包入住
汉沽-汉沽街 牌坊东街,1200,60平米,家电齐全 木地板 地段好 交通便利 车位多
汉沽-汉沽街 东风南路,1100,64平米,绿地二期，精装修，一室一厅，家电齐全，拎包入住
汉沽-汉沽街 建设北路,1700,41平米,金谷里 精装 一室 家电齐全 随时看房
汉沽-汉沽街 大丰路,1200,92平米,高档小区，环境优美，适宜居住
汉沽-汉沽街 建设路,900,72平米,海悦蓝庭  好位置 豪华装修 成熟的商圈 900的租价没谁了
"汉沽-河西 三经路,近四纬路",1800,72平米,精装修 楼下是厨房 餐厅 楼上是卧室 跃层 家电齐全
汉沽-河西 四纬路,1300,90平米,成熟小区 物业不错 家电齐全
汉沽-汉沽街 大丰路,1500,99平米,世嘉花园 精装大两室 家电齐全
汉沽-汉沽街 大丰线,1200,95平米,房子装修好，家电齐全，很干净，采光好~~~
汉沽-汉沽街 东风路,800,51平米,中阳里 闹中取静 交通便利
汉沽-汉沽街 大丰路,1100,99平米,滨海未来城 此小区环境优美 采光通风俱佳
汉沽-汉沽街 新开中路,900,42平米,地段好 中心 校区 家电齐全 附近超市 银行 学校生活设施全
汉沽-汉沽街 文化街,700,38平米,王园北里 客厅带单人床 临近商厦菜市场 出行方便 拎包入住
汉沽-河西 三纬路,1200,64平米,河西地带 成熟小区 家电齐全 精装修
汉沽-河西 三经路,900,67平米,家电齐全 价位便宜 临近华润万家
汉沽-汉沽街 友谊街,900,41平米,红霞里，小区环境优美，交通便利
汉沽-汉沽街 牌坊街,1000,70平米,东风北里，三室H户型，家电齐全，拎包入住，性价比高
汉沽-汉沽街 建设路,1200,105平米,平阳里，大两室精装，家电齐全，环境优美，价钱合理
汉沽-汉沽街 新村街,1700,100平米,新村南里精装修家电齐全 拎包入住 看房方便
汉沽-汉沽街 建设路,1200,93平米,新小区 环境好 屋子装修好 干净 两室
汉沽-汉沽街 滨河路,1000,59平米,后坨里  拎包即住  看房随时方便  百货附近
汉沽-汉沽街 文化街,1300,112平米,汉华世家 此小区环境优美 地段优越
汉沽-汉沽街 新开北路,1300,94平米,精装修 家电齐全 靠近公交站 菜市场 银行 生活设施齐全
汉沽-汉沽街 牌坊东街,900,60平米,牌坊东里 南北户型 周边设施成熟
汉沽-汉沽街 东风路,800,55平米,环境优美，户型经典，交通方便，拎包入住
汉沽-汉沽街 建设路,1100,86平米,平阳里，精装南北通透，家电齐全，拎包入住
汉沽-汉沽街 国家庄街,800,44平米,咸阳里 新开路附近 一楼 交通方便 购物方便
汉沽-汉沽街 滨唐公路,1100,94平米,天房彩虹苑，此小区环境优美，绿化率高。
汉沽-汉沽街 牌坊街,850,60平米,东风南里2室-1厅-1卫整租
汉沽-汉沽街 大丰路76号,1300,106平米,汉滨城市花园3室-2厅-1卫整租
汉沽-汉沽街 大丰路,1400,97平米,滨海未来城2室-2厅-1卫整租
汉沽-汉沽街 建设路,1500,88平米,海悦蓝庭2室-1厅-1卫整租
汉沽-汉沽街 大丰路,1200,75平米,天润新苑1室-1厅-1卫合租
汉沽-汉沽街 建设路,1500,88平米,海悦蓝庭2室-1厅-1卫整租
汉沽-汉沽街 大丰路,1200,75平米,天润新苑1室-1厅-1卫整租
汉沽-汉沽街 津汉路,2380,90平米,田华里2室-1厅-1卫整租
汉沽-汉沽街 文化街,800,79平米,坨北里2室-1厅-1卫整租
汉沽-汉沽街 东风南路,1500,66平米,四季花苑1室-1厅-1卫整租
汉沽-河西 五纬路,1200,86平米,旭辉朗悦湾2室-1厅-1卫
汉沽-汉沽街 国家庄街,400,81平米,王园南里2室-1厅-1卫合租
汉沽-汉沽街 滨唐线,500,95平米,梧桐苑2室-2厅-1卫整租
汉沽-汉沽街 牌坊街,850,60平米,东风南里2室-1厅-1卫整租
汉沽-汉沽街 建设路,1500,88平米,海悦蓝庭2室-1厅-1卫整租
汉沽-汉沽街 滨唐公路,1000,96平米,天房彩虹苑2室-1厅-1卫整租
